카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
이마트 e카드 Basic,현대카드,20000,20000,500000,이마트 7대 가맹점: 1.5%적립 | 그 외 국내외가맹점: 0.5%적립
이마트 e카드 Plus,현대카드,30000,30000,500000,"이마트 7개 가맹점: 5%적립 | 온라인몰, 병원·약국, 학원: 5%적립 | 그 외 국내외가맹점: 0.5%적립"
이지캐시백,IBK기업은행,0,0,0,전 가맹점: 0.2%캐시백 | 점심/저녁시간: 3배캐시백
인터파크 롯데카드,롯데카드,10000,10000,0,국내외 가맹점: 0.5%청구할인 | 인터파크: 5%청구할인
인플카 현대카드,현대카드,10000,10000,400000,인플카 현대카드 보유 시: 인플카 앱서비스 이용 가능 | 배달앱 이용 금액: 10%M포인트 적립 | 편의점 이용 금액: 10%M포인트 적립
인플카 현대카드 CHECK,현대카드,5000,0,0,배달앱: 1%적립 | 편의점: 1%적립 | 통신요금 자동이체: 1%적립
일년의 설렘카드,IBK기업은행,0,10000,500000,정액캐시백: 최대 70만원지급 | 전자금융: 이체수수료면제 | 놀이공원: 할인
일년의 설렘카드(모바일전용),IBK기업은행,5000,5000,0,연간 이용금액에 따라: 최대 70만원캐시백 | 놀이공원 최대: 50%할인
자연드림 IBK카드,IBK기업은행,0,5000,0,주유소(LPG포함): 60원/L할인 | 소셜커머스: 20%할인 | 영화관: 8천원할인
정 체크카드,KB국민카드,0,0,300000,백화점: 7%할인 | 홈쇼핑/온라인쇼핑: 5%할인 | 미용실/화장품: 5%할인
제주 삼다수카드(신용),제주은행,13000,15000,300000,"정유사 리터당: 100원할인 | 차량관련업종,카페,편의점: 5%할인"
제주그린체크카드,제주은행,0,0,300000,"영화입장권: 2,000원청구할인 | 국내 가맹점: 0.2~0.5%에코머니 적립 | 커피전문점: 10%청구할인"
제주그린카드,제주은행,0,0,300000,"커피전문점: 10%청구할인 | 영화관: 2,000원청구할인 | 국내 가맹점: 0.2~0.8%에코머니 적립"
제주도 삼성체크카드,삼성카드,0,0,300000,S-OIL: 40원/L적립 | 제주도발전기금: 0.5%적립 | 프로스포츠: 입장료할인
제주삼다수 체크카드,제주은행,0,0,200000,"버스,지하철,택시: 10%청구할인 | SKT, KT, LGU+ 이동통신 요금: 3%청구할인 | CU편의점 최대: 7%청구할인"
제주신화월드 신한카드,신한카드,15000,18000,500000,제주신화월드 객실: 최대 15%할인 | 신세계사이먼 프리미엄: 1만5천원할인 | 생활 영역: 10%할인
차이 신용카드,차이,12000,12000,0,대중교통: 2%캐시백 | [기간특별혜택]: 최대 80%캐시백
차이 체크카드,차이,0,0,0,월 최대: 10만원캐시백
참! 좋은 다이소카드(체크),IBK기업은행,0,0,200000,다이소: 20%할인 | 편의점/드럭스토어: 5%할인 | 소셜커머스: 10%할인
챔피언 체크카드,유진투자증권,0,0,300000,편의점: 10%캐시백 | 커피전문점: 10%캐시백 | 백화점/마트/쇼핑: 10%캐시백
청소년 후불교통 체크카드,BNK부산은행,0,0,200000,편의점: 10%할인 | 커피/베이커리: 10%할인 | 영화관: 4천원할인
청춘날다 체크카드,MG새마을금고,0,0,300000,통신비: 3천원할인 | 스타벅스: 1천원할인 | 쿠팡: 2천원할인
청춘대로 1코노미 카드,KB국민카드,0,17000,400000,편의점: 20%적립 | 통신/생활요금: 5%적립 | 음식점/배달앱: 5%적립
청춘대로 꿀맛α카드,KB국민카드,15000,15000,400000,"음식/배달App 건당: 2,000원할인 | 커피/제과 건당: 1,000원할인 | 알파원오토체인지: 5%할인"
청춘대로 꿀잠α카드,KB국민카드,15000,15000,400000,숙박/숙박App: 20%할인 | 여객/운송/인테리어: 20%할인 | 해외이용: 3%캐시백
청춘대로 꿀잼α카드,KB국민카드,15000,15000,400000,"놀이업종: 50%청구할인 | 스포츠,레저,공연,음악: 20%청구할인 | 영화: 4,000원할인"
청춘대로 매니아i카드,KB국민카드,12000,15000,400000,대중교통: 5%적립 | 커피/디저트: 10%적립 | 해외이용금액: 3%캐시백
청춘대로카드,KB국민카드,15000,20000,300000,온라인쇼핑몰: 10%할인 | 대중교통/택시: 10%할인 | 연간리워드: 1만점적립
총무 체크카드,KB국민카드,0,0,300000,"한식, 휴게음식점: 5%할인 | 커피/제과: 5%할인 | 대중교통: 5%할인"
춘식이 모바일 로카,롯데카드,20000,20000,0,"SKT, KT, LG U+: 최대 20,000원할인"
카드의 정석 SSO3 NEW-TRO CHECK,우리카드,0,0,300000,저녁 음식점/배달앱: 5%캐시백 | 대형마트/편의점: 5%캐시백 | 택시/버스/지하철: 5%캐시백
카드의정석 COOKIE CHECK,우리카드,0,0,200000,"전세계 공항라운지: 무료입장서비스 | 해외가맹점: 2~1%캐시백 | 영화: 5,000원캐시백"
카드의정석 CREAM TEENS CHECK,우리카드,0,0,100000,"편의점 건당: 1,000원캐시백 | 서점 건당: 1,000원캐시백 | 베이커리/패스트푸드 건당: 1,000원캐시백"
"카드의정석 Dear, Shopper(디어쇼퍼)",우리카드,150000,150000,500000,퍼스널 쇼핑: 5%적립 | 국내 가맹점: 1%적립 | 국내외 공항라운지: 무료이용
"카드의정석 Dear, Traveler(디어트래블러)",우리카드,150000,150000,500000,퍼스널 트래블: 5%적립 | 국내 가맹점: 1%적립 | 국내외 공항라운지: 무료이용
카드의정석 DISCOUNT,우리카드,10000,12000,300000,"국내가맹점: 0.7~1%할인 | S-OIL,현대오일뱅크: 60~100원/L할인 | 대중교통: 10%할인"
카드의정석 EVERY 1,우리카드,12000,12000,500000,국내외 가맹점: 1%청구할인 | 전월실적 따라: 최대 2만원추가할인
카드의정석 EVERY 1 (망그러진곰 Edition),우리카드,12000,12000,0,국내외 가맹점: 1%청구할인 | 전월실적 따라: 최대 2만원추가할인
카드의정석 HEROES,우리카드,10000,12000,300000,국내가맹점: 5~0.6%적립 | 간편결제: 3%추가적립 | 국내이용금액: 0.1%광복회 후원
카드의정석 L.POINT,우리카드,10000,12000,300000,영화/외식/커피: 3%적립 | 온라인/홈쇼핑: 1%적립 | 국내가맹점: 0.7%기본적립
카드의정석 MILEAGE Asiana Club,우리카드,39000,39000,500000,"국내외 가맹점 1,000원당: 1.3마일적립 | 해외일시불 1,000원당: 1.2마일추가적립 | 전세계 공항라운지: 무료이용서비스"
카드의정석 NEW우리V카드,우리카드,2000,5000,300000,"대형마트: 5%할인 | 아웃백: 25%할인 | CGV: 6,000원할인"
카드의정석 POINT,우리카드,10000,12000,300000,"모든가맹점: 0.8%적립 | 교통,통신,전기차충전: 5%적립 | 간편결제: 3%추가적립"
카드의정석 POINT CHECK,우리카드,0,0,300000,모아포인트: 1.5~0.3%적립 | 간편결제: 1.5%추가적립 | 롯데월드 아쿠아리움/놀이공원: 50%현장할인
